metric,mean,std,standard_error
accuracy,0.7137666210339264,0.00021373993405713896,6.75905018554753e-05
precision,0.7098005416544615,0.00023000285375047013,7.273328861900865e-05
recall,0.7227614475044046,0.000314861519530803,9.95679549258928e-05
f1,0.7162223306972558,0.0002218954055169453,7.016948837602395e-05
auc,0.7876347017692092,0.00016472649110203387,5.20910902849887e-05
