metric,mean,std,standard_error
accuracy,0.6213721372137214,0.014460003635511294,0.004572654646253091
precision,0.6489665426535322,0.011353735370672463,0.0035903663722141083
recall,0.5279367620572343,0.050841216636473056,0.01607740435852997
f1,0.581041828121369,0.0325916384708981,0.010306381024480537
auc,0.6437043673625202,0.016336277912200197,0.005165984669205282
