metric,mean,std,standard_error
accuracy,0.6365284132103303,0.002636858217240427,0.0008338477833410822
precision,0.6384570635454647,0.0025757988022954985,0.0008145391009587523
recall,0.628784392196098,0.006515477022288381,0.002060374743292294
f1,0.6335683991859419,0.0037568691762289255,0.0011880263468163912
auc,0.6767592464831536,0.003745445213714245,0.0011844137726713137
