metric,mean,std,standard_error
accuracy,0.71488,0.0014442145116136786,0.0004567007286566922
precision,0.6985533741833956,0.005958376991786069,0.0018842042451986355
recall,0.7564240000000001,0.016629873521266877,0.00525882775277279
f1,0.7261887013959367,0.004728659190230542,0.001495333331981594
auc,0.7898968605999983,0.00137025664360223,0.0004333131972760636
