metric,mean,std,standard_error
accuracy,0.6296129612961296,0.009247215269032358,0.0029242262264028954
precision,0.648421035613699,0.007799535236755398,0.0024664296038887684
recall,0.5668801280768462,0.05045505089045372,0.015955288027354048
f1,0.6036256712019652,0.027014022092974033,0.008542583857590682
auc,0.6638950023352672,0.00933212632220664,0.0029510774590583355
