metric,mean,std,standard_error
accuracy,0.6344734473447345,0.008746597423852085,0.0027659169635933746
precision,0.6398306172208181,0.00904774604861464,0.0028611485204410804
recall,0.6168300980588353,0.05779102491515419,0.01827512670474263
f1,0.626549440724214,0.027433465935928783,0.00867522364701778
auc,0.654228566728202,0.008269647050699233,0.002615092012590351
