metric,mean,std,standard_error
accuracy,0.713740096378747,0.0005970734051736835,0.00018881118906614026
precision,0.7081009825141213,0.001087676079643143,0.0003439533768155034
recall,0.7268447217272727,0.004011393641665251,0.0012685140499179503
f1,0.7173426822621705,0.001484032179144277,0.0004692921807078945
auc,0.7873642811066932,0.0005237893935797335,0.00016563674979503336
