metric,mean,std,standard_error
accuracy,0.6223205580139501,0.003479307042146587,0.0011002534932246673
precision,0.6309793328678491,0.0030557683317052778,0.0009663187930001598
recall,0.5883941970985493,0.009603325855045104,0.003036838281472653
f1,0.6089111041138552,0.005767905949007329,0.001823972012849817
auc,0.6474108294589094,0.0022328421009773164,0.0007060866694603996
