metric,mean,std,standard_error
accuracy,0.6301632540813521,0.005893062682219893,0.0018635500469955915
precision,0.6343812698863998,0.005976085483088578,0.0018898041618427566
recall,0.6136668334167084,0.009430530880016825,0.002982195712540525
f1,0.6238278136769781,0.006865534200640921,0.0021710725427808754
auc,0.6635691330097062,0.007214799381939474,0.0022815198908103826
