metric,mean,std,standard_error
accuracy,0.637473436835921,0.0024441028939044284,0.000772893198054686
precision,0.6453297414299437,0.002433422603455612,0.0007695157936656458
recall,0.6097048524262132,0.007295919363175982,0.0023071722812561314
f1,0.6269895534608837,0.004063202455676786,0.0012848974354328
auc,0.6740955822006158,0.0022169246124948763,0.0007010531176369988
